Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category,Planned_Time,Actual_Run_Time,Downtime
J049,M02,Lathe,4.43,33,7.55,80,18-03-2023 16:00,18-03-2023 16:33,18-03-2023 16:04,18-03-2023 16:37,Completed,Moderate Efficiency,33,33,0
J050,M01,Lathe,1.42,124.8,3.09,69.6,18-03-2023 16:10,18-03-2023 17:54,18-03-2023 16:29,18-03-2023 18:13,Delayed,Low Efficiency,104,104,0
J051,M04,Lathe,4.25,28.8,7.26,72,18-03-2023 16:20,18-03-2023 16:44,Null,Null,Failed,Low Efficiency,24,Null,Null
J052,M05,Grinding,3.91,23,9.2,82,18-03-2023 16:30,18-03-2023 16:53,18-03-2023 16:27,18-03-2023 16:50,Completed,Low Efficiency,23,23,0
J053,M02,Lathe,1.85,97,4.77,98,18-03-2023 16:40,18-03-2023 18:17,18-03-2023 16:37,18-03-2023 18:14,Completed,Low Efficiency,97,97,0
J054,M05,Drilling,2.79,64,6.66,82,18-03-2023 16:50,18-03-2023 17:54,18-03-2023 17:10,18-03-2023 18:14,Delayed,Low Efficiency,64,64,0
J055,M05,Drilling,4.61,116,13.1,99,18-03-2023 17:00,18-03-2023 18:56,18-03-2023 16:55,18-03-2023 18:51,Completed,Low Efficiency,116,116,0
J056,M01,Drilling,4.2,124.8,11.91,64,18-03-2023 17:10,18-03-2023 18:54,18-03-2023 17:07,18-03-2023 18:51,Completed,Low Efficiency,104,104,0
J057,M02,Additive,1.04,31,6.53,86,18-03-2023 17:20,18-03-2023 17:51,18-03-2023 17:19,18-03-2023 17:50,Completed,Low Efficiency,31,31,0
J058,M01,Grinding,1.03,99.6,8.42,64.8,18-03-2023 17:30,18-03-2023 18:53,18-03-2023 17:31,18-03-2023 18:54,Completed,High Efficiency,83,83,0
J059,M05,Additive,3.62,62,6.06,88,18-03-2023 17:40,18-03-2023 18:42,18-03-2023 17:51,18-03-2023 18:53,Delayed,Low Efficiency,62,62,0
J060,M01,Milling,3.29,79.2,8.69,64,18-03-2023 17:50,18-03-2023 18:56,18-03-2023 17:52,18-03-2023 18:58,Completed,Moderate Efficiency,66,66,0
J061,M02,Lathe,3.03,110,6.98,82,18-03-2023 18:00,18-03-2023 19:50,Null,Null,Failed,Low Efficiency,110,Null,Null
J062,M02,Lathe,2.47,98,9.93,82,18-03-2023 18:10,18-03-2023 19:48,18-03-2023 18:39,18-03-2023 20:17,Delayed,Low Efficiency,98,98,0
J063,M02,Lathe,3.2,47,8.4,86,18-03-2023 18:20,18-03-2023 19:07,Null,Null,Failed,Low Efficiency,47,Null,Null
J064,M02,Lathe,4.81,71,7.42,83,18-03-2023 18:30,18-03-2023 19:41,18-03-2023 18:30,18-03-2023 19:41,Completed,High Efficiency,71,71,0
J065,M03,Grinding,2.71,23,6.8,90,18-03-2023 18:40,18-03-2023 19:03,Null,Null,Failed,Low Efficiency,23,Null,Null
J066,M03,Drilling,3.47,52,2.09,97,18-03-2023 18:50,18-03-2023 19:42,18-03-2023 19:03,18-03-2023 19:55,Delayed,Low Efficiency,52,52,0
J067,M02,Lathe,3.28,23,3.79,84,18-03-2023 19:00,18-03-2023 19:23,18-03-2023 19:12,18-03-2023 19:35,Delayed,Low Efficiency,23,23,0
J068,M02,Lathe,3.48,116,9.64,82,18-03-2023 19:10,18-03-2023 21:06,18-03-2023 19:09,18-03-2023 21:05,Completed,Low Efficiency,116,116,0
J069,M04,Additive,2.61,34.8,9.58,64,18-03-2023 19:20,18-03-2023 19:49,18-03-2023 19:21,18-03-2023 19:50,Completed,Moderate Efficiency,29,29,0
J070,M04,Drilling,3.37,64.8,2.46,65.6,18-03-2023 19:30,18-03-2023 20:24,Null,Null,Failed,Low Efficiency,54,Null,Null
J071,M04,Milling,2.62,30,7.29,76,18-03-2023 19:40,18-03-2023 20:05,18-03-2023 19:38,18-03-2023 20:03,Completed,Low Efficiency,25,25,0
J072,M05,Grinding,3.52,68,6.05,99,18-03-2023 19:50,18-03-2023 20:58,18-03-2023 19:51,18-03-2023 20:59,Completed,High Efficiency,68,68,0
J073,M04,Drilling,4.17,134.4,11.57,71.2,18-03-2023 20:00,18-03-2023 21:52,18-03-2023 20:02,18-03-2023 21:54,Completed,Moderate Efficiency,112,112,0
J074,M04,Milling,3.72,78,12.97,68.8,18-03-2023 20:10,18-03-2023 21:15,18-03-2023 20:13,18-03-2023 21:18,Completed,Moderate Efficiency,65,65,0
J075,M05,Additive,3.55,85,7.52,84,18-03-2023 20:20,18-03-2023 21:45,18-03-2023 20:22,18-03-2023 21:47,Completed,High Efficiency,85,85,0
J076,M01,Milling,1.99,118.8,10.01,72,18-03-2023 20:30,18-03-2023 22:09,Null,Null,Failed,Low Efficiency,99,Null,Null
J077,M01,Milling,3.46,74.4,7.46,67.2,18-03-2023 20:40,18-03-2023 21:42,18-03-2023 20:40,18-03-2023 21:42,Completed,High Efficiency,62,62,0
J078,M02,Milling,2.08,107,2.2,89,18-03-2023 20:50,18-03-2023 22:37,18-03-2023 21:02,18-03-2023 22:49,Delayed,Low Efficiency,107,107,0
J079,M05,Milling,4.55,84,7.43,97,18-03-2023 21:00,18-03-2023 22:24,18-03-2023 21:21,18-03-2023 22:45,Delayed,Low Efficiency,84,84,0
J080,M04,Grinding,2.11,98.4,14.62,71.2,18-03-2023 21:10,18-03-2023 22:32,18-03-2023 21:08,18-03-2023 22:30,Completed,Low Efficiency,82,82,0
J081,M02,Additive,4.01,69,11.72,88,18-03-2023 21:20,18-03-2023 22:29,18-03-2023 21:17,18-03-2023 22:26,Completed,Low Efficiency,69,69,0
J082,M01,Drilling,1.73,28.8,13.39,78.4,18-03-2023 21:30,18-03-2023 21:54,18-03-2023 21:26,18-03-2023 21:50,Completed,Low Efficiency,24,24,0
J083,M03,Drilling,4.15,59,12.15,85,18-03-2023 21:40,18-03-2023 22:39,18-03-2023 21:41,18-03-2023 22:40,Completed,Moderate Efficiency,59,59,0
J084,M05,Drilling,1.19,77,11.36,95,18-03-2023 21:50,18-03-2023 23:07,18-03-2023 22:06,18-03-2023 23:23,Delayed,Low Efficiency,77,77,0
J085,M02,Lathe,3.38,44,3.35,87,18-03-2023 22:00,18-03-2023 22:44,18-03-2023 22:00,18-03-2023 22:44,Completed,High Efficiency,44,44,0
J086,M05,Drilling,2.77,77,14.07,93,18-03-2023 22:10,18-03-2023 23:27,18-03-2023 22:12,18-03-2023 23:29,Completed,Moderate Efficiency,77,77,0
J087,M03,Lathe,2.33,59,14.83,98,18-03-2023 22:20,18-03-2023 23:19,18-03-2023 22:32,18-03-2023 23:31,Delayed,Low Efficiency,59,59,0
J088,M04,Additive,1.36,72,9.56,75.2,18-03-2023 22:30,18-03-2023 23:30,18-03-2023 22:26,18-03-2023 23:26,Completed,Low Efficiency,60,60,0
J089,M04,Grinding,4.66,66,14.16,64.8,18-03-2023 22:40,18-03-2023 23:35,18-03-2023 22:35,18-03-2023 23:30,Completed,Low Efficiency,55,55,0
J090,M02,Lathe,2.38,27,12.34,99,18-03-2023 22:50,18-03-2023 23:17,18-03-2023 23:05,18-03-2023 23:32,Delayed,Low Efficiency,27,27,0
J091,M02,Grinding,4.86,60,14.6,83,18-03-2023 23:00,19-03-2023 00:00,18-03-2023 22:59,18-03-2023 23:59,Completed,Low Efficiency,60,60,0
J092,M03,Milling,4.85,90,8.14,96,18-03-2023 23:10,19-03-2023 00:40,Null,Null,Failed,Low Efficiency,90,Null,Null
J093,M03,Lathe,1.63,86,9.92,98,18-03-2023 23:20,19-03-2023 00:46,18-03-2023 23:32,19-03-2023 00:58,Delayed,Low Efficiency,86,86,0
J094,M05,Lathe,4.43,51,7.61,86,18-03-2023 23:30,19-03-2023 00:21,18-03-2023 23:48,19-03-2023 00:39,Delayed,Low Efficiency,51,51,0
J095,M03,Lathe,3.43,113,9.22,89,18-03-2023 23:40,19-03-2023 01:33,18-03-2023 23:38,19-03-2023 01:31,Completed,Low Efficiency,113,113,0
J096,M05,Milling,4.18,110,10.67,99,18-03-2023 23:50,19-03-2023 01:40,19-03-2023 00:20,19-03-2023 02:10,Delayed,Low Efficiency,110,110,0
J097,M04,Drilling,3.88,68.4,3.8,69.6,19-03-2023 00:00,19-03-2023 00:57,19-03-2023 00:23,19-03-2023 01:20,Delayed,Low Efficiency,57,57,0
J098,M03,Grinding,3.87,91,14.55,92,19-03-2023 00:10,19-03-2023 01:41,19-03-2023 00:11,19-03-2023 01:42,Completed,Moderate Efficiency,91,91,0
J099,M05,Additive,1.79,33,3.17,80,19-03-2023 00:20,19-03-2023 00:53,Null,Null,Failed,Low Efficiency,33,Null,Null
J100,M02,Grinding,2.71,27,12.24,96,19-03-2023 00:30,19-03-2023 00:57,19-03-2023 00:35,19-03-2023 01:02,Completed,Moderate Efficiency,27,27,0
J101,M05,Additive,4.8,37,4.73,92,19-03-2023 00:40,19-03-2023 01:17,19-03-2023 00:37,19-03-2023 01:14,Completed,Low Efficiency,37,37,0
J102,M04,Grinding,4.96,132,14.56,70.4,19-03-2023 00:50,19-03-2023 02:40,19-03-2023 00:49,19-03-2023 02:39,Completed,Low Efficiency,110,110,0
J103,M05,Lathe,2.54,105,9.97,96,19-03-2023 01:00,19-03-2023 02:45,19-03-2023 01:14,19-03-2023 02:59,Delayed,Low Efficiency,105,105,0
J104,M05,Milling,3.6,62,8.45,87,19-03-2023 01:10,19-03-2023 02:12,19-03-2023 01:05,19-03-2023 02:07,Completed,Low Efficiency,62,62,0
J105,M03,Grinding,1.85,43,13.65,86,19-03-2023 01:20,19-03-2023 02:03,19-03-2023 01:18,19-03-2023 02:01,Completed,Low Efficiency,43,43,0
J106,M03,Grinding,4.58,107,8.8,80,19-03-2023 01:30,19-03-2023 03:17,19-03-2023 01:27,19-03-2023 03:14,Completed,Low Efficiency,107,107,0
J107,M04,Grinding,3.86,123.6,13.37,73.6,19-03-2023 01:40,19-03-2023 03:23,Null,Null,Failed,Low Efficiency,103,Null,Null
J108,M05,Lathe,3.28,78,14.78,84,19-03-2023 01:50,19-03-2023 03:08,19-03-2023 01:51,19-03-2023 03:09,Completed,Moderate Efficiency,78,78,0
J109,M05,Lathe,3.19,102,5.14,84,19-03-2023 02:00,19-03-2023 03:42,19-03-2023 01:55,19-03-2023 03:37,Completed,Low Efficiency,102,102,0
J110,M05,Additive,3.17,107,9.31,89,19-03-2023 02:10,19-03-2023 03:57,19-03-2023 02:08,19-03-2023 03:55,Completed,Low Efficiency,107,107,0
J111,M01,Drilling,2.87,142.8,13.26,64,19-03-2023 02:20,19-03-2023 04:19,19-03-2023 02:16,19-03-2023 04:15,Completed,Low Efficiency,119,119,0
J112,M02,Lathe,3.71,74,7.12,95,19-03-2023 02:30,19-03-2023 03:44,19-03-2023 02:35,19-03-2023 03:49,Completed,Moderate Efficiency,74,74,0
J113,M01,Drilling,3.77,123.6,2.25,76,19-03-2023 02:40,19-03-2023 04:23,19-03-2023 02:38,19-03-2023 04:21,Completed,Low Efficiency,103,103,0
J114,M01,Lathe,1.26,139.2,4.36,78.4,19-03-2023 02:50,19-03-2023 04:46,19-03-2023 03:13,19-03-2023 05:09,Delayed,Low Efficiency,116,116,0
J115,M04,Lathe,1.32,136.8,9.49,68.8,19-03-2023 03:00,19-03-2023 04:54,19-03-2023 03:00,19-03-2023 04:54,Completed,High Efficiency,114,114,0
J116,M04,Milling,2.11,92.4,5.69,72,19-03-2023 03:10,19-03-2023 04:27,19-03-2023 03:08,19-03-2023 04:25,Completed,Low Efficiency,77,77,0
J117,M02,Grinding,1.57,67,5.41,81,19-03-2023 03:20,19-03-2023 04:27,19-03-2023 03:16,19-03-2023 04:23,Completed,Low Efficiency,67,67,0
J118,M02,Lathe,1.14,68,12.12,83,19-03-2023 03:30,19-03-2023 04:38,Null,Null,Failed,Low Efficiency,68,Null,Null
J119,M04,Drilling,1.09,69.6,6.55,71.2,19-03-2023 03:40,19-03-2023 04:38,19-03-2023 03:41,19-03-2023 04:39,Completed,High Efficiency,58,58,0
J120,M04,Lathe,1.22,39.6,5.5,72.8,19-03-2023 03:50,19-03-2023 04:23,19-03-2023 03:54,19-03-2023 04:27,Completed,High Efficiency,33,33,0
J121,M05,Additive,4.13,39,8.06,91,19-03-2023 04:00,19-03-2023 04:39,19-03-2023 03:56,19-03-2023 04:35,Completed,Low Efficiency,39,39,0
J122,M02,Grinding,3.22,102,7.75,96,19-03-2023 04:10,19-03-2023 05:52,19-03-2023 04:07,19-03-2023 05:49,Completed,Low Efficiency,102,102,0
J123,M04,Grinding,2.65,102,8.35,64,19-03-2023 04:20,19-03-2023 05:45,19-03-2023 04:17,19-03-2023 05:42,Completed,Low Efficiency,85,85,0
J124,M01,Grinding,4.75,48,4.42,64,19-03-2023 04:30,19-03-2023 05:10,19-03-2023 04:32,19-03-2023 05:12,Completed,High Efficiency,40,40,0
J125,M02,Additive,2.43,76,3.58,91,19-03-2023 04:40,19-03-2023 05:56,19-03-2023 04:40,19-03-2023 05:56,Completed,High Efficiency,76,76,0
J126,M01,Milling,3.12,84,5.07,78.4,19-03-2023 04:50,19-03-2023 06:00,19-03-2023 04:45,19-03-2023 05:55,Completed,Low Efficiency,70,70,0
J127,M04,Additive,4.22,32.4,6.94,69.6,19-03-2023 05:00,19-03-2023 05:27,19-03-2023 05:21,19-03-2023 05:48,Delayed,Low Efficiency,27,27,0
J128,M04,Grinding,3.24,48,10.06,72.8,19-03-2023 05:10,19-03-2023 05:50,19-03-2023 05:08,19-03-2023 05:48,Completed,Low Efficiency,40,40,0
J129,M05,Grinding,2.07,45,7.75,84,19-03-2023 05:20,19-03-2023 06:05,19-03-2023 05:24,19-03-2023 06:09,Completed,Moderate Efficiency,45,45,0
J130,M02,Milling,1.1,78,2.49,96,19-03-2023 05:30,19-03-2023 06:48,19-03-2023 05:31,19-03-2023 06:49,Completed,Optimal Efficiency,78,78,0
J131,M04,Drilling,3.55,93.6,4.87,77.6,19-03-2023 05:40,19-03-2023 06:58,19-03-2023 05:38,19-03-2023 06:56,Completed,Low Efficiency,78,78,0
J132,M01,Additive,4.64,84,10.68,65.6,19-03-2023 05:50,19-03-2023 07:00,19-03-2023 06:04,19-03-2023 07:14,Delayed,Low Efficiency,70,70,0
J133,M01,Drilling,4.42,102,6.51,73.6,19-03-2023 06:00,19-03-2023 07:25,19-03-2023 06:04,19-03-2023 07:29,Completed,High Efficiency,85,85,0
J134,M03,Lathe,2.8,71,13.03,89,19-03-2023 06:10,19-03-2023 07:21,Null,Null,Failed,Low Efficiency,71,Null,Null
J135,M01,Drilling,4.64,27.6,8.31,68.8,19-03-2023 06:20,19-03-2023 06:43,19-03-2023 06:21,19-03-2023 06:44,Completed,High Efficiency,23,23,0
J136,M04,Drilling,4.7,93.6,2.59,76,19-03-2023 06:30,19-03-2023 07:48,19-03-2023 06:29,19-03-2023 07:47,Completed,Low Efficiency,78,78,0
J137,M01,Lathe,2.86,109.2,11.79,71.2,19-03-2023 06:40,19-03-2023 08:11,19-03-2023 06:45,19-03-2023 08:16,Completed,Moderate Efficiency,91,91,0
J138,M03,Grinding,4.14,65,11.48,81,19-03-2023 06:50,19-03-2023 07:55,19-03-2023 07:20,19-03-2023 08:25,Delayed,Low Efficiency,65,65,0
J139,M03,Additive,4.04,45,4.48,92,19-03-2023 07:00,19-03-2023 07:45,19-03-2023 07:02,19-03-2023 07:47,Completed,High Efficiency,45,45,0
J140,M05,Drilling,2.58,100,8.54,85,19-03-2023 07:10,19-03-2023 08:50,19-03-2023 07:13,19-03-2023 08:53,Completed,Moderate Efficiency,100,100,0
J141,M03,Drilling,2.45,100,6,91,19-03-2023 07:20,19-03-2023 09:00,19-03-2023 07:16,19-03-2023 08:56,Completed,Low Efficiency,100,100,0
J142,M03,Lathe,2.69,110,3.75,93,19-03-2023 07:30,19-03-2023 09:20,19-03-2023 07:28,19-03-2023 09:18,Completed,Low Efficiency,110,110,0
J143,M03,Additive,4.02,33,4.28,87,19-03-2023 07:40,19-03-2023 08:13,19-03-2023 08:06,19-03-2023 08:39,Delayed,Low Efficiency,33,33,0
J144,M03,Milling,2.1,47,6.24,87,19-03-2023 07:50,19-03-2023 08:37,19-03-2023 07:45,19-03-2023 08:32,Completed,Low Efficiency,47,47,0
J145,M05,Lathe,4.02,22,7.26,97,19-03-2023 08:00,19-03-2023 08:22,19-03-2023 08:05,19-03-2023 08:27,Completed,Moderate Efficiency,22,22,0
J146,M01,Grinding,2.02,74.4,2.21,77.6,19-03-2023 08:10,19-03-2023 09:12,Null,Null,Failed,Low Efficiency,62,Null,Null
J147,M03,Lathe,3.73,29,11.1,88,19-03-2023 08:20,19-03-2023 08:49,19-03-2023 08:49,19-03-2023 09:18,Delayed,Low Efficiency,29,29,0
J148,M01,Lathe,3.74,46.8,9.65,69.6,19-03-2023 08:30,19-03-2023 09:09,19-03-2023 08:30,19-03-2023 09:09,Completed,High Efficiency,39,39,0
J149,M05,Lathe,4.46,100,11.84,95,19-03-2023 08:40,19-03-2023 10:20,Null,Null,Failed,Low Efficiency,100,Null,Null
J150,M03,Grinding,4.97,53,12.4,86,19-03-2023 08:50,19-03-2023 09:43,19-03-2023 09:06,19-03-2023 09:59,Delayed,Low Efficiency,53,53,0
J151,M02,Additive,4.41,20,13.63,85,19-03-2023 09:00,19-03-2023 09:20,Null,Null,Failed,Low Efficiency,20,Null,Null
J152,M05,Milling,1.82,106,9.32,96,19-03-2023 09:10,19-03-2023 10:56,19-03-2023 09:14,19-03-2023 11:00,Completed,Moderate Efficiency,106,106,0
J153,M05,Lathe,1.73,66,5.45,90,19-03-2023 09:20,19-03-2023 10:26,19-03-2023 09:20,19-03-2023 10:26,Completed,High Efficiency,66,66,0
J154,M02,Grinding,2.11,111,7.67,80,19-03-2023 09:30,19-03-2023 11:21,19-03-2023 09:29,19-03-2023 11:20,Completed,Low Efficiency,111,111,0
J155,M03,Drilling,3.57,40,9.87,82,19-03-2023 09:40,19-03-2023 10:20,19-03-2023 09:41,19-03-2023 10:21,Completed,Moderate Efficiency,40,40,0
J156,M04,Milling,4.14,82.8,14.55,75.2,19-03-2023 09:50,19-03-2023 10:59,Null,Null,Failed,Low Efficiency,69,Null,Null
J157,M03,Grinding,1.01,59,8.16,91,19-03-2023 10:00,19-03-2023 10:59,19-03-2023 10:05,19-03-2023 11:04,Completed,Moderate Efficiency,59,59,0
J158,M05,Drilling,3.55,113,7.69,80,19-03-2023 10:10,19-03-2023 12:03,19-03-2023 10:10,19-03-2023 12:03,Completed,High Efficiency,113,113,0
J159,M02,Milling,1.15,46,3.01,89,19-03-2023 10:20,19-03-2023 11:06,19-03-2023 10:22,19-03-2023 11:08,Completed,High Efficiency,46,46,0
J160,M01,Milling,4.25,141.6,9.57,69.6,19-03-2023 10:30,19-03-2023 12:28,19-03-2023 10:34,19-03-2023 12:32,Completed,Moderate Efficiency,118,118,0
J161,M04,Milling,3.8,64.8,10.3,71.2,19-03-2023 10:40,19-03-2023 11:34,19-03-2023 10:40,19-03-2023 11:34,Completed,Moderate Efficiency,54,54,0
J162,M01,Additive,2.25,69.6,11.7,73.6,19-03-2023 10:50,19-03-2023 11:48,19-03-2023 10:50,19-03-2023 11:48,Completed,Moderate Efficiency,58,58,0
